n,m,m_estim,Train Loss,Test Loss,Train Accuracy,Test Accuracy
,0, None,0.0049446,0.0050274,91.0,90.79
1000,0,,0.0711599333524704,0.0719547939062118,53.41,54.02
2000,0,,0.0291060929924249,0.0297668296061456,76.33,76.38000000000001
2000,0,,0.0233503995805978,0.0247081370788626,80.19500000000001,79.7
2000,0,,0.0092337612226605,0.0102432703893631,83.625,82.44
2000,0,0,0.0067513491690158,0.0081020018240786,86.89,84.97
2000,300,60,0.0061340522273727,0.0072904743911698,86.79565217391304,85.50999999999999
2000,500,100,0.006349014263153,0.0076674831389449,87.304,85.87
2000,1000,200,0.0067164627393086,0.0083533756909891,87.22999999999999,85.37
2000,2000,400,0.0051147211665287,0.0078970449060201,89.23,85.6
2000,4000,800,0.0044008865055938,0.0091710331877693,90.76,84.56
2000,10000,2000,0.0028358713688794,0.0111837330801179,94.30166666666666,83.73
1000,0,0,0.0002217671016813,0.0054274061144009,99.86,92.64
1000,300,240,0.0003758772934737,0.0055389554948691,99.5,92.43
1000,500,400,0.0003791868696454,0.0055063076940889,99.52666666666666,91.85
2000,0,,0.0250533330976963,0.0251195066809654,51.93,53.34
1000,0,,0.0210339558422565,0.0257041357999667,81.69,79.14
1000,500,,0.0151832108348608,0.0266452966058626,86.86,77.94
1000,1000,,0.0146218392424285,0.0320744582291692,89.07000000000001,77.02
1000,4000,,0.0077816156011238,0.0429476412147283,94.556,71.49
1000,10000,,0.0045285622783055,0.0531635159432888,96.93,64.86
1000,0,,6.881352737264023e-05,0.0041608636105781,99.96,94.77
1000,500,,0.0002485117980589469,0.004360435272875475,99.64666666666666,93.74
